epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,36079.2,1.87151,1.24472,0.00395,0.58929,0.55931,0.53021,0.2721,2.25178,1.43431,0.00494,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,36452.1,1.95008,1.25942,0.00399,0.58437,0.55651,0.52262,0.26363,2.22499,1.44868,0.00487,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,36816.5,1.99392,1.27916,0.00402,0.60361,0.55424,0.53138,0.27313,2.19163,1.44177,0.00478,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,37191.2,2.00398,1.26965,0.00389,0.61131,0.5759,0.54403,0.28164,2.16562,1.43178,0.00481,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,37553.5,1.96128,1.27179,0.00397,0.60459,0.57829,0.54468,0.282,2.16263,1.42538,0.00479,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,37927.6,1.98795,1.30376,0.00415,0.60884,0.58543,0.54737,0.28466,2.1459,1.42096,0.00476,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,38481.3,1.93675,1.27673,0.00387,0.62005,0.57043,0.5464,0.28421,2.16557,1.42079,0.0048,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,41039.1,1.96818,1.28325,0.00401,0.6076,0.56823,0.54202,0.28571,2.19132,1.43123,0.00489,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,41438.1,1.94037,1.26222,0.00393,0.60073,0.57742,0.54023,0.28197,2.18693,1.4303,0.0049,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,41832.3,1.96731,1.23295,0.00383,0.60044,0.57703,0.54092,0.28086,2.17141,1.42571,0.00486,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
